tconst	directors
tt10022864	\N
tt10022870	\N
tt10022952	nm4084207
tt10022974	nm5577387
tt10022990	nm11262032,nm8490655
tt10023024	nm1665004
tt10023080	nm10549047
tt10023150	nm0468007
tt10023154	nm1621250
tt10023286	nm3046538
tt10023318	nm0947875
tt10023330	nm6213444
tt10023364	nm1338120
tt10023506	nm10549354
tt10023640	nm10549393
tt10023754	nm10549403
tt10023812	nm6895247
tt10024036	nm3955487
tt10024044	nm4659255,nm3622953
tt10024716	nm10549752
tt10025064	nm8851876,nm8852216
tt10025196	nm6214900,nm10552410
tt1002563	nm0637493
tt10025790	nm10550140
tt10025972	\N
tt10026108	nm1633031
tt10026172	nm0134682
tt10026190	nm10550385
tt10026308	nm0898981
tt10026686	nm1224184
tt10026722	nm0945031
tt10026730	nm4712337
tt10027174	nm4955111
tt10027474	nm7744775
tt10027696	nm10551212
tt10027708	nm3495624
tt10027848	nm10551249
tt10028030	nm9736915
tt10028196	nm2378914
tt10028240	nm10535359
tt10028708	nm8289101
tt10028766	nm1326107
tt10028772	nm5063098,nm5063035
tt10028818	nm5063035,nm5063098
tt10029182	nm10545795
tt10032640	nm10552580
tt10033154	nm2858832
tt10033708	nm8208745
tt10033760	nm10552890
tt10033822	nm9340031
tt10033852	nm2366663
tt10033904	nm10552957
tt10033908	nm0257011,nm6747132
tt10033964	nm3803666
tt10034136	nm1550913
tt10034168	nm2586010
tt10034236	nm2582532
tt10034256	nm5006536
tt10034272	nm7397952
tt10034400	nm10546903
tt10035012	nm7891335
tt10035068	nm10553623
tt10035120	nm3648980
tt10035478	nm4753270
tt10036378	nm4625048
tt10036406	nm10553970,nm10923938
tt10036714	nm5243034
tt10036868	nm10554239
tt10036992	nm6159603
tt10037056	nm0885702
tt10037312	nm2408461
tt10037382	nm10554537
tt10037428	nm10554563
tt10037452	nm0772381
tt10037542	nm3492299
tt10037560	nm4982036
tt10037562	nm10554671
tt10037700	nm1045718
tt10037834	nm10554895
tt10037836	nm5973229
tt10037872	nm2464269
tt10038002	nm9736915
tt10038006	nm6860862
tt10038028	nm6425087
tt10038066	nm10555043
tt10038080	nm6425087
tt10038086	nm10555086
tt10038128	nm10555100
tt10038708	nm8773502
tt10038734	nm7050645
tt10038738	nm10529183
