tconst	directors
tt10473048	nm3307160
tt10473076	nm10748741
tt10473088	nm1719234
tt10473174	nm10850470
tt10473250	nm9545093
tt10473258	nm5542855
tt10473312	nm3515157
tt10473356	nm0814694
tt10473358	nm2410514
tt10473366	\N
tt10473368	nm11072520
tt10473370	\N
tt10473372	\N
tt10473376	\N
tt10473378	\N
tt10473380	\N
tt10473384	\N
tt10473386	\N
tt10473388	\N
tt10473394	\N
tt10473396	\N
tt10473398	\N
tt10473400	\N
tt10473402	\N
tt10473404	\N
tt10473406	\N
tt10473408	\N
tt10473410	\N
tt10473412	\N
tt10473414	nm7476548
tt10473416	\N
tt10473418	\N
tt10473420	\N
tt10473442	\N
tt10473444	\N
tt10473446	\N
tt10473450	\N
tt10473452	\N
tt10473454	\N
tt10473462	\N
tt10473464	\N
tt10473484	\N
tt10473492	\N
tt10473598	nm10760814,nm10760815
tt10473614	\N
tt10473636	nm5620266
tt10473674	nm5620266
tt10473920	nm1780501,nm10760917
tt10474348	nm8264912
tt10474350	\N
tt10474352	\N
tt10474354	\N
tt10474356	\N
tt10474358	\N
tt10474360	\N
tt10474362	\N
tt10474366	\N
tt10474368	\N
tt10474372	\N
tt10474374	\N
tt10474378	\N
tt10474380	\N
tt10474382	\N
tt10474386	nm2849107
tt10474388	\N
tt10474394	\N
tt10474402	\N
tt10474404	\N
tt10474408	\N
tt10474410	\N
tt10474412	\N
tt10474420	\N
tt10474422	\N
tt10474428	\N
tt10474430	\N
tt10474432	\N
tt10474434	\N
tt10474442	\N
tt10474480	\N
tt10474484	\N
tt10474490	\N
tt10474494	\N
tt10474498	\N
tt10474500	\N
tt10474504	\N
tt10474506	\N
tt10474510	\N
tt10474512	\N
tt10474520	\N
tt10474522	\N
tt10474526	\N
tt10474528	\N
tt10474568	nm10761059
tt10474576	\N
tt10474584	\N
tt10474784	nm10430017
tt10474858	nm2099019
tt10474862	nm10761126
tt10475034	nm10340920
tt10475100	nm10761167
tt10475304	nm5109173
tt10475672	\N
tt10475856	nm10888881,nm10888882
tt10475866	nm1550829
tt10475900	nm3655485
tt10475916	nm10137660,nm9923427,nm8427582,nm10761275,nm8436962
tt10475942	nm8022943
tt10476064	\N
tt10476090	\N
tt10476254	\N
tt10476298	nm2755723
tt10476332	nm4230400
tt10476336	nm3634486
tt10476412	\N
tt10476444	nm0378172
tt10476458	nm2572743
tt10476500	nm7688931
tt10476540	nm3916560
tt10476644	nm10567196
tt10476682	nm6102117
tt10476788	nm10761723
tt10476832	nm0729825
tt10476870	nm10076543,nm10076697
tt10476888	nm3745547
tt10476908	nm10761805
tt10477072	nm10761805
tt10477146	nm5261835
tt10477192	nm1802222
tt10477214	nm9862624,nm10302573
tt10477224	nm0025241
tt10477250	nm2415588
tt10477300	nm8984767
tt10477354	nm1393870
tt10477366	nm2387707
tt10477440	nm3623239
tt10477558	nm7743299,nm2518118
tt10477646	nm10452238
tt10477668	nm5392972
tt10477680	nm8869196
tt10477838	nm10762517
tt10477858	nm3153264
tt10477868	nm9247396
tt10477938	nm10762686
tt10477950	nm0414728
tt10477996	nm7434162
tt10478036	nm10762754
tt10478042	nm9766806
tt10478044	nm10765065
tt10478064	nm5548965,nm4174154
tt10478420	nm10695319
tt10478422	nm1485317
tt10478556	nm0791685
tt10478572	nm5243569
tt10478640	nm7936620,nm10398331
tt10478674	nm7779937
tt10478834	nm10763401
tt10478836	nm10763403
tt10478864	\N
tt10478866	\N
tt10478868	\N
tt10478870	nm1193005
tt10478872	\N
tt10478874	\N
tt10478876	\N
tt10478878	\N
tt10478880	\N
tt10478934	nm10763425
tt10479074	\N
tt10479414	nm4625048
tt10479726	nm1065860
tt10479990	nm9755397
tt10480074	\N
tt10480110	nm10763614
tt10480152	nm3689588
tt10480242	nm10763688
tt10480532	nm1220697,nm1221522
tt10480798	nm10763676
tt10481020	nm8888170
tt10481184	nm0274028
tt10481548	nm10763931
tt10481714	nm2791125,nm2791716
tt10481760	nm5853943
tt10481792	nm3452373
tt10481828	\N
tt10481862	nm0626168,nm0790616
tt10481868	nm3046419
tt10481890	nm7685792
tt10481912	nm7842264
tt10481954	nm5593762
tt10481968	nm10764186
tt10481976	nm3661298,nm10764196
tt10481990	nm3349777
tt10481996	nm10764210
tt10482020	nm4170972
tt10482032	nm1320353
tt10482064	nm4146339,nm10764286
tt10482072	nm10764301
tt10482098	nm10764395
tt10482116	nm10387286
tt10482250	\N
tt10482336	nm5704116
tt10482394	nm5836339
tt10482418	nm1357813
tt10482446	nm10764694
tt10482482	nm10764720,nm10764719
tt10482504	nm0935863
tt10482654	nm9745928
tt10482746	nm10471141
tt10482754	nm3789478
tt10482764	nm8565027
tt10482766	nm10764960
tt10482802	nm10765012
tt10482808	\N
tt10482838	nm0240971
tt10482844	nm8029217
tt10482850	nm9761444
tt10482864	\N
tt10482866	nm6087889
tt10482870	\N
tt10483064	\N
tt10483126	nm6295631
tt10483386	nm0348495
tt10483598	nm5711956
tt10483680	nm10765405
tt10483682	nm6519967
tt10483684	nm3003425
tt10483728	nm7552253
tt10483736	nm8471100
tt10483816	nm0004124
tt10483912	nm2312075
tt10484276	nm4794312
tt10484744	nm6398422,nm1261439,nm5364367,nm10766041
tt10484902	nm5063015
tt10484992	nm10766129,nm10766125
tt10485048	nm10766130
tt10485148	nm2916031
tt10485176	\N
tt10485250	nm10766168
tt10485396	nm10766180
tt10485536	nm10766233
tt10485538	nm0068674
tt10485708	nm10766309
tt10485822	nm0126802
tt10485932	nm3136289
tt10486148	\N
tt10486170	nm0249210
tt10486228	\N
tt10486366	\N
tt10486934	nm10764265
tt10487032	nm2187722,nm10766618
tt10487402	nm10766901
tt10487412	nm3701173
tt10487426	nm4873557
tt10487428	nm1828498
tt10487644	nm10767045,nm1070707
tt10487680	nm10767075
tt10487722	nm5972397
tt10487736	nm5793883
tt10487766	nm10767132
tt10487912	nm3341442
tt10487924	nm8307081,nm8296047
tt10487926	nm2009087
tt10487940	nm3671378
tt10488040	nm1125531
tt10488162	nm2874300
tt10488322	nm3906180
tt10488372	nm7388698
tt10488388	nm10767446
tt10488396	nm10767454
tt10488406	nm10767466
tt10488412	nm4597583
tt10488418	nm10767470
tt10488426	nm10767471
tt10488430	nm10767475
tt10488432	nm10767477
tt10488572	nm1405566
tt10488640	nm1380198,nm0997222
tt10488782	nm4457074
tt10488806	nm2298107
tt10488882	nm5936070
tt10488892	nm1818089
tt10488912	nm3444024
tt10488948	nm2346688
tt10489088	nm0271421
tt10489128	nm3492090
tt10489178	nm10727843
tt10489290	nm2365188
tt10489348	nm5481321
tt10489382	nm0209629
tt10489428	nm10757632
tt10489432	nm1403029
tt10489552	nm0777068
tt10489580	nm8022946
tt10489608	nm8621020
tt10489754	nm0899872
tt10489756	nm0665193
tt10489780	nm10768250
tt10489854	nm10768264
tt10490584	nm5902042
tt10490796	nm9862981
tt10491082	nm4429977
tt10491250	nm6169193
tt10491676	nm10768536
tt10491806	nm6778002
tt10492484	nm10768814
tt10492618	nm1211787
tt10492728	\N
tt10492730	nm9312386
tt10492736	\N
tt10492756	nm8571772
tt10492770	\N
tt10492778	nm7027979
tt10492896	nm10704534,nm10704535
tt10492972	nm1088437
tt10492998	nm0893111
tt10493060	nm0279531
tt10493128	nm9835220
tt10493472	nm10563629,nm10560857
tt10493488	nm2450064,nm2445258
tt10494006	nm0514921
tt10494090	nm8076852
tt10494132	\N
tt10494170	nm7489043
tt10494260	nm2077857
tt10494406	nm5687438
tt10494638	\N
tt10494922	nm10769742
tt10494954	nm10769778
tt10495074	nm10769816
tt10495746	nm2804902
tt10495912	nm1346477
tt10495934	nm10770267
tt10496076	nm0486188
tt10496536	nm4254117
tt10496762	nm5208533
tt10497186	nm10733062,nm7065612
tt10497242	nm8022946
tt10497352	nm2387350
tt10497516	nm3623373
tt10497568	nm1626707
tt10497656	nm0922752
tt10497662	nm10770638
tt10497782	nm0506746
tt10497826	nm5394027
tt10497908	\N
tt10497910	\N
tt10497912	\N
tt10497914	\N
tt10497916	\N
tt10497924	\N
tt10497926	\N
tt10497928	\N
tt10497930	\N
tt10497932	\N
tt10497934	\N
tt10497936	\N
tt10497938	\N
tt10497940	\N
tt10497944	\N
tt10497946	\N
tt10497948	\N
tt10497950	\N
tt10497952	\N
tt10497956	\N
tt10497960	\N
tt10497962	\N
tt10497966	\N
tt10497968	\N
tt10497970	\N
tt10497974	\N
tt10497976	\N
tt10497978	\N
tt10497980	\N
tt10497982	\N
tt10497984	\N
tt10497986	\N
tt10497988	\N
tt10497990	\N
tt10497992	\N
tt10497994	\N
tt10497996	\N
tt10497998	\N
tt10498000	\N
tt10498004	\N
tt10498006	\N
tt10498008	\N
tt10498012	\N
tt10498014	\N
tt10498018	\N
tt10498020	\N
tt10498064	nm10770843
tt10498588	nm3153020
tt10498644	nm9234239
tt10498666	nm5442864
tt10498722	nm5757701
tt10498792	nm2374154
tt10498806	nm7037933
tt10498810	nm2961993
tt10498828	nm0359708
tt10498972	nm1830174
tt10499108	nm10771575
tt10499260	nm4826661
tt10499334	nm9564013
tt10499366	nm2704306
tt10499412	\N
tt10499414	\N
tt10499416	\N
tt10499418	nm3739001
tt10499420	\N
tt10499422	\N
tt10499424	\N
tt10499426	\N
tt10499428	\N
tt10499430	\N
tt10499432	\N
tt10499434	\N
tt10499436	\N
tt10499438	\N
tt10499440	\N
tt10499442	\N
tt10499444	\N
tt10499446	\N
tt10499448	nm10888904
tt10499450	\N
tt10499452	\N
tt10499454	\N
tt10499456	\N
tt10499458	\N
tt10499460	\N
tt10499462	\N
tt10499464	nm9094207
tt10499466	\N
tt10499468	\N
tt10499470	\N
tt10499472	nm6298830
tt10499474	nm3767221
tt10499476	nm11233251
tt10499484	\N
tt10499488	\N
tt10499490	\N
tt10499492	\N
tt10499494	\N
tt10499500	\N
tt10499502	\N
tt10499504	\N
tt10499506	\N
tt10499508	\N
tt10499510	\N
tt10499512	\N
tt10499514	\N
tt10499516	\N
tt10499518	\N
tt10499552	nm6297586
tt10499612	nm0048056
tt10499646	nm1123163
tt10499648	nm9202257
tt10499722	nm0409258
tt10499938	nm10617928
tt10500020	nm10772225
tt10500136	nm2115426
tt10500142	nm3623373
tt10500150	nm4781550
tt10500190	nm9279458
tt10500316	\N
tt10500320	\N
tt10500326	\N
tt10500340	\N
tt10500342	\N
tt10500348	\N
tt10500352	nm10614110
tt10500354	\N
tt10500356	\N
tt10500366	nm10772470
tt10500374	\N
tt10500376	\N
tt10500378	\N
tt10500382	nm1864859
tt10500392	\N
tt10500394	\N
tt10500398	nm10772479
tt10500406	\N
tt10500408	\N
tt10500414	nm0889096
tt10500418	\N
tt10500424	nm6596349
tt10500440	nm1580740
tt10500442	\N
tt10500444	\N
tt10500446	\N
tt10500450	\N
tt10500452	\N
tt10500456	\N
tt10500462	\N
tt10500464	\N
tt10500478	nm2369662
tt10500482	\N
tt10500484	\N
tt10500486	\N
tt10500490	\N
tt10500494	nm10772525
tt10500498	\N
tt10500500	\N
tt10500512	\N
tt10500514	\N
tt10500524	\N
tt10500530	\N
tt10500532	nm5299166
tt10500534	nm2760678
tt10500544	nm10772571
tt10500552	nm6085153
tt10500554	\N
tt10500574	\N
tt10500644	nm10772656
tt10500650	nm1302262
tt10500666	nm10772695
tt10501024	nm10436791
tt10501764	nm5244577
tt10501808	nm5620266
tt10501818	nm10773021
tt10501952	nm7182052
tt10501980	nm0546686
tt10502906	nm8740105
tt10502908	nm6145284
tt10503070	nm8841370
tt10503270	\N
tt10503318	nm9147051
tt10503594	nm0237402
tt10503736	nm1953143
tt10503742	nm10157161
tt10503754	\N
tt10503798	nm10773839
tt10503934	nm0032714
tt10503950	nm10011058
tt10503988	nm0009016
tt10504110	nm2120452
tt10504154	nm0485904
tt10504184	nm1551082,nm1306561
tt10504208	\N
tt10504218	\N
tt10504248	nm4322974
tt10504264	\N
tt10504286	nm10019914
tt10504446	nm10774387,nm6369159
tt10504488	nm2423025
tt10504496	nm10182810
tt10504576	nm1369080
tt10504752	nm8246243
tt10504794	nm5563914
tt10504904	nm3231736
tt10504928	nm0205779
tt10504966	nm0501281
tt10504992	nm10774769
tt10505024	\N
tt10505026	\N
tt10505028	\N
tt10505030	\N
tt10505032	\N
tt10505034	\N
tt10505036	\N
tt10505038	\N
tt10505040	\N
tt10505042	nm10811242
tt10505044	\N
tt10505046	\N
tt10505048	nm8971373
tt10505050	\N
tt10505052	\N
tt10505054	\N
tt10505058	\N
tt10505060	\N
tt10505062	\N
tt10505064	\N
tt10505066	\N
tt10505068	\N
tt10505070	\N
tt10505076	\N
tt10505078	\N
tt10505082	\N
tt10505084	\N
tt10505088	\N
tt10505090	\N
tt10505092	\N
tt10505094	nm2184846,nm1212489
tt10505096	\N
tt10505098	\N
tt10505100	\N
tt10505102	\N
tt10505104	\N
tt10505108	\N
tt10505110	\N
tt10505112	nm1210805
tt10505116	\N
tt10505118	\N
tt10505120	\N
tt10505122	\N
tt10505124	\N
tt10505128	\N
tt10505148	nm4394953,nm6361735
tt10505158	nm7197623
tt10505278	nm2085734
tt10505316	nm0316306
tt10505414	\N
tt10505416	\N
tt10505420	\N
tt10505422	\N
tt10505424	nm0321687
tt10505426	\N
tt10505428	\N
tt10505430	\N
tt10505432	\N
tt10505434	\N
tt10505436	\N
tt10505438	\N
tt10505440	\N
tt10505442	\N
tt10505444	\N
tt10505446	\N
tt10505448	\N
tt10505450	\N
tt10505452	\N
tt10505456	\N
tt10505460	\N
tt10505462	\N
tt10505464	\N
tt10505466	\N
tt10505468	\N
tt10505472	\N
tt10505474	\N
tt10505476	\N
tt10505478	\N
tt10505480	\N
tt10505482	\N
tt10505484	\N
tt10505486	\N
tt10505488	\N
tt10505490	\N
tt10505492	\N
tt10505494	\N
tt10505496	\N
tt10505498	nm4724947
tt10505502	\N
tt10505558	nm10775093
tt10505592	nm10775123
tt10505598	nm0678907
tt10505616	nm0182443
tt10505652	\N
tt10505918	nm1335387
tt10506096	nm4646689,nm1919480
tt10506250	nm10743031
tt10506436	nm10775295
tt10506490	nm0080400
tt10506876	nm5031882,nm3961122
tt10506946	nm5189199
tt10507176	nm4593163
tt10507478	nm0150894
tt10507510	nm6225206
tt10507902	nm0471690
tt10507938	nm3786389
tt10508082	nm2788775
tt10508112	nm10775607
tt10508116	nm10775608
tt10508122	nm6191772
tt10508182	nm6504982
tt10508226	nm1652669
tt10508258	nm3360412
tt10508366	nm10775697
tt10508376	\N
tt10508378	nm0489453
tt10508400	nm5661312
tt10508420	nm4536784
tt10508436	\N
tt10508442	nm7031021
tt10508446	nm3814179
tt10508448	\N
tt10508450	\N
tt10508454	nm10775748
tt10508456	\N
tt10508474	\N
tt10508526	\N
tt10508554	\N
tt10508558	nm0411200
tt10508594	\N
tt10508622	\N
tt10508658	\N
tt10508722	nm10775826
tt10508752	nm4960761
tt10508774	nm2983144
tt10508786	nm10775123
tt10508838	nm0151125
tt10508938	nm1479490
tt10509018	nm6970240
tt10509092	nm5367914
tt10509124	\N
tt10509128	\N
tt10509148	nm4354574
tt10509164	nm10776205
tt10509374	nm5857321
tt10509380	nm0872564
tt10509476	nm4625722
tt10509570	nm0877966
tt10509642	nm8513203
tt10509906	nm0706615
tt10509944	nm0262693
tt10510136	nm6659603
tt10510250	nm5513903
tt10510254	nm0300965
tt10510256	nm10776907
tt10510286	\N
tt10510320	nm1754496
tt10510324	\N
tt10510346	nm9157702
tt10510416	nm4182489
tt10510534	nm9066139
tt10510654	nm2008414
tt10510736	nm0423524
tt10510748	nm2728221
tt10510888	nm5195567
tt10510988	nm10764497
tt10511066	nm10028466
tt10511068	nm10777737
tt10511382	nm11189156,nm10692916,nm0646444
tt10511406	nm10778153
tt10511408	nm9452612
tt10511410	nm0335489
tt10511716	nm10778293
tt10511826	nm4198623
tt10512248	nm5517989
tt1051229	nm2677124
tt10512418	nm1994773
tt10512636	nm10778489
tt10513002	nm1406809,nm3594343
tt10513072	nm6419171
tt10513286	nm6061525
tt10513416	nm2633008
tt10513474	nm2435887,nm5856856
tt10513622	nm10778812
tt10513698	nm1349530
tt10513930	nm10778966,nm10778968
tt10513982	nm4610432
tt10514056	nm6527118
tt10514104	nm10494482
tt10514134	\N
tt10514140	nm8978438
tt10514222	nm0938045
tt10514240	nm3827475
tt10514308	nm5847756
tt10514312	nm0237236
tt10514370	nm1982407
tt10514432	nm0005102
tt10514450	nm3119738
tt10514454	nm10779461
tt10514462	nm10779476,nm0344225,nm6546420
tt10514468	nm1785712
tt10514532	nm7517649,nm9204952
tt10514552	nm0765392
tt10514608	nm2725456
tt10514632	nm9504372
tt10514670	nm1029423
tt10514752	nm4849296
tt10514756	nm5100000
tt10514914	nm7291249
tt10514926	nm3910115
tt10514932	nm3172762
tt10515020	nm6653843
tt10515048	nm0125809
tt10515086	nm1441566
tt10515174	\N
tt10515178	nm9821515
tt10515182	nm0239119
tt10515188	nm2104333
tt10515190	\N
tt10515200	\N
tt10515202	\N
tt10515204	nm5001481
tt10515206	\N
tt10515214	\N
tt10515216	\N
tt10515222	\N
tt10515228	\N
tt10515230	\N
tt10515244	\N
tt10515250	\N
tt10515256	\N
tt10515340	nm3450302
tt10515394	nm6407592
tt10515398	nm8920189
tt10515404	nm8989500
tt10515408	nm1896291
tt10515438	nm0415840
tt10515460	nm10780274
tt10515480	nm10780291,nm6682206
tt10515526	nm8392933
tt10515532	\N
tt10515534	\N
tt10515536	\N
tt10515538	\N
tt10515540	\N
tt10515542	\N
tt10515544	\N
tt10515546	\N
tt10515548	\N
tt10515550	\N
tt10515552	\N
tt10515556	\N
tt10515558	\N
tt10515560	\N
tt10515562	nm3670877,nm3009884
tt10515564	\N
tt10515566	\N
tt10515568	\N
tt10515570	\N
tt10515572	\N
tt10515574	\N
tt10515580	\N
tt10515588	\N
tt10515592	\N
tt10515600	\N
tt10515610	\N
tt10515612	nm8717931
tt10515668	nm10763437
tt10515720	\N
tt10515760	\N
tt10515786	nm9639631
tt10515854	\N
tt10515858	\N
tt10515860	\N
tt10515862	\N
tt10515864	nm2940110
tt10515866	nm3482223
tt10515872	\N
tt10515886	\N
tt10515888	\N
tt10515892	\N
tt10515898	\N
tt10515902	\N
tt10515908	nm6517095
tt10515918	\N
tt10515920	\N
tt10515934	\N
tt10515936	nm11250383
tt10515942	\N
tt10515944	nm0299677
tt10515946	\N
tt10515954	nm10780539
tt10515976	nm1987408
tt10515988	\N
tt10515994	nm6552845
tt10516018	\N
tt10516022	\N
tt10516024	\N
tt10516038	\N
tt10516048	\N
tt10516060	\N
tt10516066	\N
tt10516068	\N
tt10516070	\N
tt10516076	\N
tt10516080	\N
tt10516086	nm4705755
tt10516100	nm11033407
tt10516114	\N
tt10516120	\N
tt10516126	\N
tt10516128	\N
tt10516130	\N
tt10516176	nm6153366
tt10516196	nm2956085
tt10516322	\N
tt10516332	\N
tt10516346	nm1468541
tt10516484	nm5814133
tt10516886	nm9050551
tt10517836	nm4889661
tt10517890	nm10781217,nm5231976,nm0535734
tt10517922	nm10781226
tt10517956	nm4889661
tt10518070	nm5736321
tt10518098	nm10711636,nm8906259,nm9640631
tt10518196	nm10781276
tt10518240	nm6607709
tt10518496	nm7452931,nm6179820
tt10518732	nm5001454
tt10518846	nm10781428
tt10518924	nm6339432
tt10518932	nm10781472
tt10518934	nm7627742
tt10518936	nm10781473
tt10518944	nm6162792
tt1051904	nm1224299
tt1051906	nm1191481
tt10519146	nm1409452
tt10519182	nm3034399
tt10519214	nm5148205
tt10519380	nm10781693
tt10519512	nm1907262
tt10519662	nm2528965,nm0590578
tt10519740	nm5479742
tt10519752	nm5451071
tt10519798	nm6088502
tt10519888	nm0943758
tt10520038	nm3247935
tt10520050	nm10782197
tt10520054	nm3171510
tt10520218	nm6153540
tt10520370	nm1126106
tt10520386	nm2365786
tt10520392	nm10122783
tt10520650	nm10152184
tt10520750	nm10782550
tt10520754	nm1648680
tt10520804	nm10782593
tt10520824	nm3288617
tt10520860	\N
tt10520862	\N
tt10520864	\N
tt10520866	\N
tt10520868	\N
tt10520870	\N
tt10520872	\N
tt10520874	\N
tt10520876	\N
tt10520878	nm7973076
tt10520880	nm3777147
tt10520882	nm11013941
tt10520884	\N
tt10520886	\N
tt10520888	\N
tt10520890	\N
tt10520892	\N
tt10520894	\N
tt10520896	\N
tt10520900	\N
tt10520902	\N
tt10520980	\N
tt10520982	\N
tt10520984	\N
tt10520986	\N
tt10520988	\N
tt10520990	\N
tt10520992	\N
tt10520994	\N
tt10520996	\N
tt10520998	\N
tt10521000	\N
tt10521002	\N
tt10521004	\N
tt10521014	\N
tt10521016	\N
tt10521018	\N
tt10521020	\N
tt10521022	\N
tt10521024	\N
tt10521026	nm4665466
tt10521028	nm3729477
tt10521030	\N
tt10521032	\N
tt10521034	\N
tt10521038	\N
tt10521042	\N
tt10521056	nm7256890
tt10521082	nm10782794
tt10521084	nm3177668
tt10521092	nm0374048
tt10521136	\N
tt10521192	nm5671312,nm9003875
tt10521232	\N
tt10521234	nm10783129
tt10521244	nm9382243
tt10521256	\N
tt10521258	\N
tt10521260	\N
tt10521262	\N
tt10521264	\N
tt10521266	\N
tt10521268	nm1896808
tt10521270	\N
tt10521272	\N
tt10521274	\N
tt10521276	\N
tt10521278	\N
tt10521280	\N
tt10521284	nm10770273
tt10521296	\N
tt10521298	\N
tt10521300	\N
tt10521302	\N
tt10521304	\N
tt10521306	\N
tt10521308	\N
tt10521310	\N
tt10521312	\N
tt10521318	\N
tt10521334	\N
tt10521336	\N
tt10521338	\N
tt10521340	\N
tt10521342	\N
tt10521344	\N
tt10521346	\N
tt10521350	\N
tt10521352	\N
tt10521354	\N
tt10521358	\N
tt10521378	\N
tt10521436	\N
tt10521458	\N
tt10521476	\N
tt10521708	nm5559177
tt10521726	\N
tt10521814	nm6791934,nm5634068
tt10521818	nm0582797
tt10521942	nm2913179
tt10522278	nm0176941
tt10522328	nm0176941
tt10522354	\N
tt10522932	nm2088171
tt10522990	nm1974849
tt10522992	nm1619476
tt10523122	nm2911128
tt10523126	nm7053977
tt10523128	\N
tt10523188	\N
tt10523288	\N
tt10523404	nm6418005
tt10523424	nm0523363
tt10524226	nm8442406
tt10524262	nm4840824
tt10524364	nm0554787
tt10524450	nm5622179
tt10524574	nm5080358
tt10524624	nm3063985
tt10524654	nm4420386
tt10524714	\N
tt10524720	nm10784411
tt10524746	nm8696427,nm4504144
tt10524802	nm10784561
tt10524828	nm7341581
tt10524876	nm5299230
tt10524890	nm10784621
tt10525018	nm4115760
tt10525072	nm6914869
tt10525120	nm2409092
tt10525174	nm0510738
tt10525194	nm4166467
tt10525224	nm1353167
tt10525236	nm5947733
tt10525422	nm5066113
tt10525480	nm10785104
tt10525672	nm3996001
tt10526134	nm10785521
tt10526266	nm1921714
tt10526292	nm10785550,nm10785549
tt10526332	nm9822033
tt10526406	nm10785626
tt10526502	nm8878658
tt10526570	nm8878658
tt10526632	nm8569035
tt10527470	nm10184781
tt10527538	nm2307805
tt10528564	nm4649844
tt10529112	nm1857283
tt10529130	\N
tt10529344	nm10786350
tt10529386	nm6440150
tt10529494	nm3704744
tt10529554	nm2195258
tt10529582	nm0485155
tt10529644	nm5472963
tt10529682	nm2087284
tt10529800	nm9841823
tt10529808	nm10786689
tt10529836	nm8575581
tt10529922	nm10786859
tt10529978	nm2077225
tt10530020	nm3862038
tt10530090	nm0698489
tt10530128	nm10787106
tt10530176	nm8066994
tt10530222	nm8471102
tt10530256	nm6808994
tt10530266	nm2553357
tt10530286	nm7455249
tt10530314	nm10787353
tt10530392	nm6464561
tt10530428	nm4365140
tt10530462	nm3032827
tt10530548	nm1457650
tt10530658	nm10787537
tt10530662	nm8794086
tt10530670	nm7692758
tt10530720	nm3515814
tt10530806	nm1387141,nm6921912
tt10530930	nm3150343
tt10530958	nm2320363
tt10531134	nm2243554
tt10531964	nm5321228
tt10532482	nm9499756
tt10532840	nm0305017
tt10532896	nm10722191
tt10533078	nm1995246
tt10533360	nm10788174
tt10533484	nm10482790
tt10533506	nm4142119
tt10533570	nm3478746
tt10533714	nm10788502,nm10788500,nm10788499,nm10788501,nm5237326,nm5629768,nm7464538,nm2666248
tt10533744	nm4142119,nm10788528
tt10533804	nm0608936
tt10533810	nm4142119
tt10533828	nm4142119
tt10533852	nm10788631
tt10533880	nm1252635
tt10533940	nm10442943
tt10534040	nm10788846,nm5161687
tt10534052	nm8680958,nm10788858
tt10534256	nm0146385
tt10534466	nm0720411
tt10534500	nm6293294
tt10534512	nm1086000
tt10534516	nm10789227
tt10534520	nm1753723
tt10534786	nm8508781,nm10789460,nm7597131
tt10534836	nm10789517
tt10534838	nm6794402,nm10316609,nm5927288
tt10534948	nm1115471
tt10534962	nm10800272
tt10534974	nm1490982,nm1487983
tt10534976	nm3724598
tt10534996	nm5189705
tt10535004	nm10789640,nm1780007
tt10535046	nm0465372
tt10535080	nm6362492
tt10535146	nm0864263
tt10535236	nm9164447
tt10535246	nm10789815
tt10535278	nm10789883
tt10535332	\N
tt10535422	nm5690754
tt10535546	nm10792499
tt10535586	nm0774389
tt10535594	nm0464526
tt10536088	nm0994587
tt10536144	nm6769999
tt10536508	nm5216586
tt10536638	nm1898387
tt10536646	nm0415007
tt10537422	\N
tt10537434	\N
tt10537484	nm4684257
tt10537634	nm10790430
tt10537660	nm1318381
tt10537978	nm0404485
tt10538136	nm10790504
tt10538200	nm10676617
tt10538348	nm5483636,nm0058802
tt10538508	nm10790618
tt10538532	nm10790623
tt10538596	nm2665477
tt10538624	nm8317787
tt10538640	nm7594790,nm8982510
tt10538668	nm10790729
tt10538732	nm10790773
tt10538752	nm10790833
tt10538822	nm0044700
tt10538846	nm9272116
tt10538884	nm10790975
tt10538920	nm6435397
tt10539032	nm5353837
tt10539068	nm1818028
tt10539136	nm1288551
tt10539138	nm7917377
tt10539164	nm2264935
tt10539172	nm0782900
tt10539204	nm10791208
tt10539214	nm4502019
tt10539230	nm0772461
tt10539240	nm0999458
tt10539244	nm10791274
tt10539278	nm1302262
tt10539310	\N
tt10539358	nm3114500
tt10539502	\N
tt10539608	nm0000123
tt10539714	nm9749072
tt10539870	\N
tt10539974	nm2369858
tt10540024	nm2538739
tt10540084	nm9668957
tt10540120	nm0137081
tt10540150	nm7760208
tt10540200	nm10791969
tt10540218	nm8721149
tt10540242	nm1015063
tt10540278	\N
tt10540320	nm10799942,nm10799941
tt10540334	nm8870751
tt10540344	nm1506325
tt10540386	\N
tt10540398	nm4298051
tt10540428	\N
tt10540456	nm7725685
tt10540492	nm3640621
tt10540594	nm7806053
tt10540674	nm0019841
tt10540816	nm10728356
tt10540854	nm4991904
tt10541028	nm1425585,nm5181252
tt10541096	nm10792633
tt10541114	nm7920974
tt10541126	nm3761799
tt10541134	nm5620266
tt10541410	nm0890367
tt10541546	nm10792700
tt10541560	nm10792703
tt10541566	nm4899088
tt10541610	nm9209817
tt10541620	nm7151695,nm10792750
tt10541670	nm9577721
tt10541828	nm10792822
tt10542182	nm0504616
tt10542186	nm9158285,nm9143437,nm9143428
tt10542194	nm10781041
tt10542212	\N
tt10542462	nm10764937
tt10542492	nm10792932,nm5238372
tt10542568	nm10792947
tt10542588	nm8912989
tt10542730	nm10793018
tt10542886	nm4771654
tt10542954	nm2194834
tt10543530	nm7965202
tt10543680	nm2028533
tt10543710	nm10793148
tt10543950	nm10793311
tt10544024	\N
tt10544094	nm4297896
tt10544106	nm2939693
tt10544158	nm0460176,nm1894653
tt10544302	nm5173756
tt10544316	\N
tt10544328	nm2404755
tt10544356	nm4985736
tt10544422	nm5954636
tt10544442	nm5336009
tt10544498	nm9959462
tt10544518	nm5442624
tt10544554	nm8012900
tt10544664	\N
tt10544678	nm5591249
tt10544694	\N
tt10544750	nm7737044
tt10544752	nm6482245
tt10544840	nm0958368
