Quartier;Libellé;Largeur;Longueur;Arrondissement;Début;Fin
Goutte d'Or.;voie CQ/18;12.0;460.0;XVIIIe;voie CP/18, 5.;voie CP/18, 43.
Ternes.;voie BB/17;10.0;160.0;XVIIe;avenue de la Porte de Champerret.;boulevard Périphérique extérieur ouest.
Ternes.;voie BI/17;7.0;220.0;XVIIe;boulevard Périphérique extérieur ouest.;AQ/16.
Batignolles.;passage Cardinet;5.0;220.0;XVIIe;rue de Tocqueville, 74.;rue Cardinet, 127, et rue Jouffroy d'Abbans, 11.
Picpus.;rue de Madagascar;12.0;101.0;XIIe;rue des Meuniers, 32.;rue de Wattignies, 56.
Quinze-Vingts.;rue de Prague;20.0;230.0;XIIe;rue de Charenton, 89 bis.;rue Traversière, 64.
Necker.;place Wassily Kandinsky;32.0;45.0;XVe;à hauteur des nos 56 à 60 rue Bargue.;
Maison Blanche.;voie DI/13;9.0;230.0;XIIIe;avenue de la Porte d'Italie.;boulevard Périphérique intérieur sud.
Petit Montrouge.;rue Henri Regnault;9.8;161.0;XIVe;rue de la Tombe Issoire, 132.;rue du Père Corentin, 45.
Charonne.;rue des Réglises;8.0;65.0;XXe;boulevard Davout, 85-93.;rue de la Croix Saint-Simon, 36.
Gare.;voie GP/13;;24.0;XIIIe;boulevard du Général Jean Simon, 9.;boulevard du Général Jean Simon, 11.
Ternes.;impasse des Deux Cousins;9.75;50.0;XVIIe;rue d'Héliopolis, 11.;
Plaine de Monceaux.;rue Gervex;20.0;90.0;XVIIe;rue Jules Bourdais, 7.;rue de Senlis, 2.
Batignolles.;rue Salneuve;9.5;190.0;XVIIe;rue Legendre, 29.;rue de Saussure, 67.
Salpêtrière.;rue René Panhard;15.0;39.0;XIIIe;rue des Wallons, 18.;boulevard Saint-Marcel, 19.
Maison Blanche.;rue Henri Pape;12.0;145.0;XIIIe;rue Damesme, 18 et rue Ernest et Henri Rousselle, 1.;place de l'Abbé Georges Hénocque, 3.
Gare.;rue du Docteur Charles Richet;15.0;105.0;XIIIe;rue Jeanne d'Arc, 79.;rue Nationale, 166.
Saint-Fargeau.;rue Pierre Mouillard;11.0;75.0;XXe;boulevard Mortier, 41.;rue du Capitaine Ferber, 54.
Parc de Montsouris.;rue Thomas Francine;5.0;75.0;XIVe;avenue de la Sibelle, 6.;rue de l'Empereur Valentinien, 21.
Place Vendôme. Madeleine.;rue du Chevalier de Saint-George;12.6;113.0;Ier,VIIIe;rue Saint-Honoré, 404-408.;rue Duphot, 21.
Epinettes.;placette Claude Bouvelle;;;XVIIe;située à l'intersection des rues Davy et Guy Môquet.;
Jardin des Plantes.;place Mohammed V;40.0;75.0;Ve;devant l'Institut du Monde Arabe, à l'angle du quai Saint-Bernard et de la rue des Fossés Saint-Bernard.;
Clignancourt.;place Jean Gabin;0.0;0.0;XVIIIe;intersection des rues Custine et Lambert.;
Bel Air.;sentier de la Lieutenance;2.0;65.0;XIIe;boulevard Soult, 81 bis.;villa du Bel Air, 19.
Picpus. Quinze-Vingts.;rue Chaligny;22.0;545.0;XIIe;place du Colonel Bourgoin, 3.;rue du Faubourg Saint-Antoine, 198 et rue de Reuilly, 2.
Bel Air.;route du Donjon;10.0;850.0;XIIe;avenue de la Dame Blanche (Fontenay-sous-Bois).;avenue de Nogent.
Picpus.;rue Dorian;12.0;128.0;XIIe;rue de Picpus, 12.;rue Pierre Bourdan, 1, 2.
Bercy.;cour Saint-Émilion;12.0;220.0;XIIe;rue Gabriel Lamé.;en impasse
Clignancourt.;rue Feutrier;10.0;250.0;XVIIIe;rue André del Sarte, 8.;rue Muller, 32, et rue Paul Albert, 10.
Plaine de Monceaux.;voie G/17;10.0;31.0;XVIIe;boulevard Pereire, 92.;en impasse
Ternes.;avenue de Salonique;20.0;87.0;XVIIe;boulevard d'Aurelle de Paladines, 2, et allée du Général Koenig, 1.;boulevard de Dixmude, 15.
Clignancourt.;rue Dejean;12.0;70.0;XVIIIe;rue des Poissonniers, 21.;rue Poulet, 26.
Grandes Carrières.;rue Montcalm;18.0;490.0;XVIIIe;rue Damrémont, 78 et rue Marcadet, 202.;rue du Ruisseau, 65-71.
Belleville.;rue Constant Berthaut;8.0;60.0;XXe;rue du Jourdain, 5.;rue de Belleville, 132.
Charonne.;rue Ferdinand Gambon;8.0;115.0;XXe;rue d'Avron, 113-117.;rue de la Croix Saint-Simon.
Belleville.;rue de la Mare;8.0;670.0;XXe;place et rue de Ménilmontant, 71.;rue des Pyrénées, 383.
Pont de Flandre.;rue Alphonse Karr;12.0;215.0;XIXe;avenue de Flandre, 169.;rue de Cambrai, 20.
Combat.;avenue Mathurin Moreau;20.0;530.0;XIXe;place du Colonel Fabien, 4.;avenue Secrétan, 84 et rue Manin, 29.
Amérique. Saint-Fargeau.;place du Maquis du Vercors;0.0;0.0;XIXe,XXe;à la rencontre des avenues de la Porte des Lilas, René Fonck et du Docteur Gley, de la rue des Glaïeuls et de la voie BL/19.;
Saint-Lambert.;hameau d'Alleray;3.3;51.0;XVe;rue d'Alleray.;en impasse
Grenelle.;rue Béatrix Dussane;10.0;105.0;XVe;rue Viala, 19.;rue de Lourmel, 16.
Gare.;voie AA/13;3.0;30.0;XIIIe;rue du Château des Rentiers, 46.;en impasse.
Maison Blanche.;rue Bourgon;7.0;190.0;XIIIe;avenue d'Italie, 142.;rue Damesme, 41.
Maison Blanche.;rue Francis De Miomandre;8.0;230.0;XIIIe;avenue Caffieri.;rue Louis Pergaud.
Val de Grâce.;voie D/5;5.0;51.0;Ve;rue Laromiguière, 7.;en impasse.
Val de Grâce. Sorbonne.;rue Saint-Jacques;20.0;1550.0;Ve;rue Galande, 79, et rue Saint-Séverin.;boulevard de Port-Royal, 84.
