Quartier;Libellé;Largeur;Longueur;Arrondissement;Début;Fin
Sainte-Marguerite.;rue Charrière;10.0;125.0;XIe;rue de Charonne, 86.;esplanade Renée Lebas et rue Chanzy.
Porte Dauphine.;rue Lalo;12.0;200.0;XVIe;rue Pergolèse, 62.;boulevard Marbeau, 32.
Bel Air.;rue Fernand Foureau;20.0;60.0;XIIe;boulevard Soult, 84.;avenue Lamoricière, 13, 30.
Quinze-Vingts.;rue Saint-Nicolas;12.0;172.0;XIIe;rue de Charenton, 67.;rue du Faubourg Saint-Antoine, 80.
Auteuil.;rue François Millet;12.0;96.0;XVIe;avenue Théophile Gautier, 22.;rue Jean de La Fontaine, 29.
Maison Blanche.;rue Gérard;4.0;160.0;XIIIe;rue du Moulin des Prés, 6.;rue Jonas, 11 et rue Samson, 1.
Madeleine.;cité Berryer;3.5;95.0;VIIIe;rue Royale, 25.;rue Boissy d'Anglas, 24.
Europe.;avenue César Caire;33.0;105.0;VIIIe;place Saint-Augustin, et rue de Laborde.;rue de la Bienfaisance, 11.
Madeleine.;rue Greffulhe;12.0;93.0;VIIIe;rue de Castellane, 8.;rue des Mathurins, 29.
Champs Elysées.;allée Marcel Proust;10.0;350.0;VIIIe;place de la Concorde.;avenue de Marigny.
Europe.;rue du Rocher;18.0;805.0;VIIIe;rue Pasquier, 43 et rue de Rome, 15.;place Prosper Goubaux, 1.
Saint-Thomas d'Aquin.;rue Gaston Gallimard;10.0;60.0;VIIe;rue de l'Université, 19;rue Sébastien Bottin, et rue Montalembert.
Saint-Germain des Prés.;impasse des Deux Anges;5.5;23.0;VIe;rue Saint-Benoît, 6.;
Arsenal.;rue de Birague;11.8;112.0;IVe;rue Saint-Antoine, 36.;place des Vosges, 1.
Halles.;rue du Roule;13.0;116.0;Ier;rue de Rivoli, 136.;rue Saint-Honoré, 77.
Place Vendôme.;cour Vendôme;13.5;52.0;Ier;rue Saint-Honoré, 362.;place Vendôme, 7.
Val de Grâce.;rue Pierre Brossolette;20.0;126.0;Ve;place Lucien Herr, 6.;rue Rataud.
Val de Grâce.;rue Royer-Collard;10.0;172.0;Ve;rue Saint-Jacques, 202.;boulevard Saint-Michel, 71.
Val de Grâce.;rue Lhomond;15.0;578.0;Ve;place de l'Estrapade, 1 et rue des Fossés Saint-Jacques, 26.;rue de l'Arbalète, 8.
Bercy.;voie CG/12;10.0;60.0;XIIe;quai de Bercy.;rue Robert Etlin.
Notre-Dame des Champs. Saint-Germain des Prés. Saint-Thomas d'Aquin. Ecole Militaire. Necker.;rue de Sèvres;24.0;1500.0;VIe,VIIe,XVe;place Michel Debré, 2.;boulevard Pasteur, 1, et avenue de Breteuil, 85.
Invalides.;avenue du Maréchal Gallieni;20.0;450.0;VIIe;quai d'Orsay.;place des Invalides.
Ecole Militaire. Gros Caillou.;place Joffre;70.0;450.0;VIIe;avenue Duquesne, et avenue de La Bourdonnais.;avenue de Suffren, et carrefour du Général Jacques Pâris de Bollardière.
Gros Caillou.;rue de Monttessuy;12.0;210.0;VIIe;avenue Rapp, 18.;avenue de La Bourdonnais, 21.
Parc de Montsouris. Petit Montrouge. Plaisance.;rue d'Alésia;20.0;2400.0;XIVe;place Coluche.;rue de Vouillé, à la limite du XVe arrondissement.
Vivienne.;passage des Princes;3.0;80.0;IIe;boulevard des Italiens, 5 bis.;rue de Richelieu, 97.
Enfants Rouges.;rue de Picardie;10.0;185.0;IIIe;rue de Bretagne, 40.;rue de Franche Comté, 2.
Enfants Rouges.;rue Eugène Spuller;15.0;160.0;IIIe;rue de Bretagne.;rue Dupetit-Thouars.
Chaussée d'Antin.;passage du Havre;3.65;115.0;IXe;rue de Caumartin, 69.;rue Saint-Lazare, 109.
Saint-Merri.;rue Saint-Merri;12.0;225.0;IVe;rue du Temple, 23.;rue Saint-Martin, 100.
Chaussée d'Antin.;avenue du Coq;12.0;72.0;IXe;rue Saint-Lazare, 87.;en impasse
Rochechouart.;rue Manuel;11.0;91.0;IXe;rue Milton, 13.;rue des Martyrs, 26.
Chapelle.;rue de la Madone;40.0;113.0;XVIIIe;rue Marc Séguin, 32 et rue de l'Évangile, 11.;rue des Roses, 13-19.
Charonne.;voie EW/20;10.0;250.0;XXe;avenue Cartellier.;boulevard Périphérique intérieur est.
Grandes Carrières.;rue Félix Ziem;12.0;90.0;XVIIIe;rue Damrémont, 33.;rue Eugène Carrière, 22 et place Nattier, 2.
Charonne.;rue Saint-Blaise;15.0;600.0;XXe;place Saint-Blaise.;boulevard Davout, 109-113.
Saint-Fargeau.;rue Devéria;12.0;100.0;XXe;rue Pelleport, 146.;rue du Borrégo, 12, et rue du Télégraphe.
Père Lachaise.;place Gambetta;0.0;0.0;XXe;à la rencontre des avenues Gambetta et du Père Lachaise, et des rues des Pyrénées et Belgrand.;
Belleville.;impasse Pixérécourt;1.7000000000000002;130.0;XXe;rue Charles Friedel, 11.;
Charonne.;impasse Philidor;1.2;17.0;XXe;rue Philidor, 16.;
Belleville. Père Lachaise. Charonne.;rue des Pyrénées;48.0;3515.0;XXe;cours de Vincennes, 67.;rue de Belleville, 92.
Lambert.;allée Eugénie;9.0;85.0;XVe;avenue Sainte-Eugénie, 7.;en impasse.
Pont de Flandre.;rue du Chemin de Fer;12.0;405.0;XIXe;place Auguste Baron.;rue du Chemin de fer, à la limite du territoire de Pantin.
Combat.;rue Henri Murger;12.0;155.0;XIXe;avenue Mathurin Moreau, 37.;rue Édouard Pailleron, 12, et avenue Secrétan, 66.
Amérique.;rue Jean Quarré;6.0;160.0;XIXe;rue Henri Ribière, 12.;rue du Docteur Potain, 21.
Combat.;rue Rampal;10.5;200.0;XIXe;rue de Belleville, 35.;rue Rébeval, 48.
Combat.;place Jean Rostand;0.0;0.0;XIXe;boulevard de la Villette, 10 et rue Hector Guimard.;
Javel.;rue des Bergers;9.0;450.0;XVe;rue de Javel, 60.;rue Cauchy, 33.
Porte Dauphine.;rue Charles Lamoureux;12.0;70.0;XVIe;rue Émile Ménier, 23.;rue Spontini, 25 et rue de Noisiel, 3.
Muette.;passage Singer;6.8;80.0;XVIe;rue Singer, 29.;rue des Vignes, 36.
Batignolles.;square Claude Debussy;8.0;90.0;XVIIe;rue Legendre, 23 bis.;square Fernand de la Tombelle, 4.
Epinettes.;villa Jacquemont;5.0;68.0;XVIIe;rue Jacquemont, 12.;en impasse
Epinettes.;rue Louis Loucheur;15.0;135.0;XVIIe;boulevard Bessières, 24 et rue Francis Garnier, 3.;rue Fernand Pelloutier, 8 et rue André Bréchet.
Ternes.;rue Catulle Mendès;20.0;110.0;XVIIe;avenue Stéphane Mallarmé, 10.;boulevard de la Somme, 21.
Auteuil.;square des Aliscamps;17.0;68.0;XVIe;boulevard Suchet, 100.;avenue du Maréchal Lyautey, 9.
Muette.;rue des Bauches;12.0;141.0;XVIe;rue de Boulainvilliers, 45.;rue Gustave Zédé, 3, et rue Marietta Martin, 5.
Auteuil.;voie BQ/16;10.0;200.0;XVIe;boulevard Périphérique extérieur ouest.;autoroute A13.
Maison Blanche.;rue de l'Espérance;12.0;280.0;XIIIe;rue de la Butte aux Cailles, 27.;rue Barrault, 61.
Gare.;rue Jean Antoine de Baïf;15.0;215.0;XIIIe;quai Panhard et Levassor, 13.;rue de la Croix Jarry, 41.
Madeleine.;rue Royale;22.0;282.0;VIIIe;place de la Concorde, 2.;place de la Madeleine, 2.
Porte Saint-Martin. Porte Saint-Denis.;rue Saint-Laurent;12.0;150.0;Xe;rue du Faubourg Saint-Martin, 127.;boulevard de Magenta, 72.
Porte Saint-Martin.;rue Sibour;15.0;70.0;Xe;rue du Faubourg Saint-Martin, 121.;boulevard de Strasbourg, 70.
Gros Caillou.;rue Savorgnan de Brazza;12.0;95.0;VIIe;avenue de La Bourdonnais, 68.;allée Adrienne Lecouvreur, et place Joffre.
Ecole Militaire.;rue d'Estrées;10.0;495.0;VIIe;boulevard des Invalides, 34, et avenue de Villars, 16.;place de Fontenoy, 1.
Charonne.;square du Var;15.0;92.0;XXe;rue Noël Ballay, 3.;rue Lippmann, 4.
Necker.;voie CR/15;;;XVe;voie CQ/15.;rue André Gide, 21.
Saint-Georges. Grandes Carrières.;promenade Georges Ulmer;18.0;160.0;IXe, XVIIIe;terre-plein central du boulevard de Clichy, commençant au droit du n° 17, et finissant au droit du n° 39.;
Maison Blanche.;voie GJ/13;8.0;55.0;XIIIe;boulevard Auguste Blanqui, 139.;voie GH/13.
Porte Dauphine.;route Sablonneuse;0.0;1280.0;XVIe;route de la Muette à Neuilly.;avenue du Mahatma Gandhi.
Charonne.;rue Charles Et Robert;15.0;112.0;XXe;boulevard Davout, 66.;place de la Porte de Montreuil, rue Maryse Hilsz.
Petit Montrouge.;voie F/14;3.3;85.0;XIVe;rue Friant, 26.;square de Châtillon, 17.
Montparnasse.;passage Fermat;1.4;105.0;XIVe;rue Fermat, 2.;rue Froidevaux, 69.
Combat. Villette.;avenue de Laumière;26.0;310.0;XIXe;rue Armand Carrel, 2 et place Armand Carrel.;avenue Jean Jaurès, 94.
Maison Blanche.;rue Caillaux;20.0;250.0;XIIIe;avenue de Choisy, 59.;avenue d'Italie, 111.
Charonne.;impasse Saint-Paul;3.0;30.0;XXe;passage Dieu, 5.;
Charonne.;rue Joseph Python;12.0;335.0;XXe;rue Louis Lumière, 90 et avenue de la Porte de Bagnolet.;en impasse
Saint-Victor;place Maurice Audin;5.0;38.0;Ve;intersection de la rue des Écoles, rue Saint-Victor, et rue de Poissy.;
Gare.;rue Marie-Louise Dubreil-Jacotin;7.0;35.0;XIIIe;rue Hélène Brion, 20.;rue Françoise Dolto, 17.
Ternes.;esplanade du Général Casso;19.0;41.0;XVIIe;intersection du boulevard Gouvion-Saint-Cyr, rue Alexandre Charpentier, rue Jules Renard, et rue Claude Debussy.;
Maison Blanche.;rue Madeleine Brès;16.0;200.0;XIIIe;rue Brillat-Savarin, 11.;rue Annie Girardot.
Gare.;rue Louise Bourgeois;14.0;150.0;XIIIe;place Farhat Hached.;rue Julie Daubié, place Paul et Augustine Fiket et rue Léo Fränkel.
Epinettes.;rue Fourneyron;12.0;55.0;XVIIe;rue des Moines, 43.;rue Brochant, 28.
Grandes Carrières. Clignancourt.;rue Duhesme;12.0;987.0;XVIIIe;rue Lamarck, 92.;passage Duhesme, 8.
Maison Blanche.;rue du Tibre;4.4;76.0;XIIIe;rue du Moulin de la Pointe, 58.;rue Damesme, 71.
Charonne.;place de la Réunion;0.0;0.0;XXe;à la rencontre des rues Alexandre Dumas, de Terre Neuve, de la Réunion et Vitruve et du sentier de la Pointe.;
Belleville.;rue Jouye-Rouve;12.0;183.0;XXe;rue de Belleville, 60.;rue Julien Lacroix, 68.
Clignancourt.;rue Gaston Auguet;5.5;85.0;XVIIIe;rue des Poissonniers, 111.;rue Boinod, 38.
Sainte-Marguerite.;rue Saint-Bernard;12.0;380.0;XIe;rue du Faubourg Saint-Antoine, 183.;rue de Charonne, 78.
Sainte-Marguerite.;rue Neuve des Boulets;12.0;210.0;XIe;rue Léon Frot, 12.;rue de Nice, 1.
Sainte-Marguerite.;impasse Franchemont;10.0;60.0;XIe;rue Jean Macé, 14.;
Saint-Ambroise.;passage Guilhem;7.0;37.0;XIe;rue du Général Guilhem, 18.;rue Saint-Maur, 51.
Roquette.;impasse Lamier;6.4;90.0;XIe;rue de Mont-Louis, 8.;
Bel Air.;rue du Général Archinard;20.0;190.0;XIIe;avenue du Général Messimy, 6, rue de la Nouvelle-Calédonie, et place Antoine Furetière.;rue Édouard Lartet.
Quinze-Vingts. Picpus. Bercy.;rue de Charenton;16.0;3150.0;XIIe;rue du Faubourg Saint-Antoine, 2, et place de la Bastille, 6.;boulevard Poniatowski, 15.
Bercy.;place des Vins de France;40.0;520.0;XIIe;avenue des Terroirs de France, 29.;rue des Pirogues de Bercy, 26.
Clignancourt.;rue Jules Jouy;10.0;40.0;XVIIIe;rue Francoeur, 16, et rue Diard, 9.;rue Cyrano de Bergerac, 3.
Ternes.;rue Laugier;10.0;805.0;XVIIe;rue Poncelet, 23.;rue Vernier, 38 et boulevard Gouvion-Saint-Cyr, 7.
Grandes Carrières.;voie AC/18;2.0;110.0;XVIIIe;rue Marcadet, 161 bis.;en impasse
Grandes Carrières.;impasse Calmels;6.0;48.0;XVIIIe;rue du Pôle Nord, 18.;
Goutte d'Or.;rue Fleury;5.85;30.0;XVIIIe;boulevard de la Chapelle, 74.;rue de la Charbonnière, 17, et rue de Chartres, 13.
Grandes Carrières.;rue Armand Gauthier;12.0;55.0;XVIIIe;rue Félix Ziem, 1 bis.;rue Eugène Carrière, 14.
Saint-Fargeau.;rue Camille Bombois;3.8;34.0;XXe;boulevard Mortier, 19.;rue Irénée Blanc, 44.
Charonne.;impasse de la Confiance;2.0;89.0;XXe;rue des Vignoles, 34.;
Saint-Fargeau.;rue Victor Dejeante;20.0;131.0;XXe;boulevard Mortier, 40.;rue Le Vau, 11.
Saint-Fargeau.;voie EO/20;10.0;120.0;XXe;voie EN/20.;boulevard Périphérique extérieur est.
Saint-Fargeau.;passage Planchard;4.0;167.0;XXe;rue Saint-Fargeau, 18 bis.;en impasse
Combat. Villette.;rue Armand Carrel;20.0;705.0;XIXe;place Armand Carrel, 3, et avenue de Laumière, 1.;avenue Jean Jaurès, et rue Bouret.
Pont de Flandre.;rue Delesseux;12.0;140.0;XIXe;rue des Ardennes, 14.;rue Adolphe Mille, 11.
Combat.;voie N/19;3.0;24.0;XIXe;avenue Simon Bolivar, 52.;rue Georges Lardennois, 112.
Combat.;rue Monjol;15.0;11.0;XIXe;rue Burnouf.;en impasse
Combat.;rue Pradier;12.0;275.0;XIXe;rue Rébeval, 69.;rue Fessart, 51.
Amérique.;villa Paul Verlaine;4.0;120.0;XIXe;rue Miguel Hidalgo, 9-13.;en impasse
Saint-Lambert.;place d'Alleray;0.0;0.0;XVe;à la rencontre des rues d'Alleray, Dutot, Saint-Amand, Brancion, des Favorites et Paul Barruel.;
Bel Air.;avenue des Minimes;14.0;1350.0;XIIe;route du Grand Prieur.;esplanade Saint-Louis.
Bel Air.;rue Sibuet;15.0;355.0;XIIe;rue du Sahel, 9.;boulevard de Picpus, 58.
Bel Air. Picpus.;avenue des Tribunes;17.0;2000.0;XIIe;route du Pesage.;avenue de Saint-Maurice.
Gare.;rue Raymond Aron;20.0;190.0;XIIIe;quai François Mauriac, 63.;avenue de France.
Gare.;rue Pierre Gourdault;12.0;212.0;XIIIe;rue du Chevaleret, 139.;rue Dunois, 22.
Necker.;impasse Grisel;12.0;82.0;XVe;boulevard Garibaldi, 3.;
Saint-Lambert.;rue du Général Guillaumat;30.0;130.0;XVe;avenue Albert Bartholomé.;place des Insurgés de Varsovie.
Javel.;rond-point du Pont Mirabeau;50.0;90.0;XVe;au carrefour du quai André Citroën, de l'avenue Emile Zola et des rues de la Convention et Balard.;
Javel.;rue Frédéric Mistral;12.0;44.0;XVe;rue Jean Maridor, 14.;rue Félix Faure, 13.
Porte Dauphine.;voie AX/16;10.0;270.0;XVIe;boulevard Périphérique intérieur ouest.;voie AR/16.
Porte Dauphine.;voie BB/16;10.0;140.0;XVIe;place du Maréchal de Lattre de Tassigny.;boulevard Périphérique intérieur ouest.
Auteuil.;square du Mont Blanc;11.25;36.0;XVIe;avenue Perrichont, 25.;en impasse
Auteuil.;voie BW/16;10.0;330.0;XVIe;autoroute A13.;boulevard Périphérique extérieur ouest.
Muette.;rue Duban;18.0;153.0;XVIe;place Chopin.;rue Bois le Vent, 1, et place de Passy.
Muette.;rue de l'Abbé Gillet;13.0;74.0;XVIe;rue Lyautey, 7.;rue Jean Bologne, 10.
Auteuil. Muette.;route des Moulins;10.0;1300.0;XVIe;route des Tribunes.;route de Suresnes.
Muette.;avenue du Parc de Passy;13.0;70.0;XVIe;1° tronçon: avenue du Président Kennedy, 34. / 2° tronçon: avenue Marcel Proust, 12.;1° tronçon: en impasse. / 2° tronçon: rue Raynouard, 25-29.
Epinettes.;rue Frédéric Brunet;15.0;160.0;XVIIe;boulevard Bessières, 36.;rue André Bréchet, et rue Francis Garnier, 13.
Parc de Montsouris.;villa Méridienne;16.0;50.0;XIVe;avenue René Coty, 53.;en impasse.
Halles. Mail. Bonne Nouvelle.;rue Montorgueil;16.0;360.0;Ier,IIe;rue Montmartre, 2 et rue Rambuteau, 124.;rue Léopold Bellan, 1 et rue Saint-Sauveur, 59.
Bonne Nouvelle.;rue Dussoubs;12.0;350.0;IIe;rue Tiquetonne, 24.;rue du Caire, 35.
Bonne Nouvelle.;rue Saint-Spire;3.6;25.0;IIe;rue d'Alexandrie, 14.;rue Sainte-Foy, 8.
Gaillon. Chaussée d'Antin.;boulevard des Capucines;35.4;440.0;IIe,IXe;rue Louis le Grand, 25 et rue de la Chaussée d'Antin, 1.;rue des Capucines, 24 et rue de Caumartin, 2.
Archives.;ruelle Sourdis;3.0;213.0;IIIe;rue Charlot, 3.;rue Pastourelle, 15.
Enfants Rouges.;passage Vendôme;4.0;57.0;IIIe;rue Béranger, 16.;place de la République, 1.
Porte Saint-Denis.;rue des Messageries;10.0;181.0;Xe;rue d'Hauteville, 69-77.;rue du Faubourg Poissonnière, 78.
Maison Blanche.;rue de la Fontaine À Mulard;15.0;280.0;XIIIe;rue de la Colonie, 70.;place de Rungis, 2.
Croulebarbe.;avenue de la Soeur Rosalie;34.0;110.0;XIIIe;place d'Italie, 6.;rue Abel Hovelacque, 13.
Gare. Maison Blanche.;rue de Tolbiac;27.0;2715.0;XIIIe;avenue de France, 117.;place Coluche.
Petit Montrouge.;rue de Bigorre;7.0;51.0;XIVe;rue du Commandeur, 15.;rue d'Alésia, 28.
Plaisance.;place de la Garenne;27.5;77.0;XIVe;rue du Moulin des Lapins, 15 et rue Sainte-Léonie, 7.;
Javel.;voie G/15;10.0;15.0;XVe;rue Duranton, 34.;en impasse.
Saint-Thomas d'Aquin.;allée Claude Montal;;;VIIe;terre-plein central du boulevard Raspail, commençant rue de Varenne et finissant rue Chomel.;
Gare.;place du Docteur Navarre;0.0;0.0;XIIIe;intersection des rues Nationale, Sthrau et Baptiste Renard.;
Croulebarbe.;rue Vulpian;13.0;210.0;XIIIe;rue du Champ de l'Alouette, 3, et rue Corvisart, 26.;boulevard Auguste Blanqui, 84.
Sainte-Marguerite.;impasse Delépine;4.0;130.0;XIe;boulevard Voltaire, 197.;
Folie-Méricourt.;voie F/11;1.2;73.0;XIe;rue de la Fontaine au Roi, 26.;en impasse
Bercy.;voie CI/12;10.0;200.0;XIIe;rue du Général de Langle de Cary.;boulevard Périphérique intérieur sud.
Quinze-Vingts.;rue Émile Gilbert;12.0;90.0;XIIe;boulevard Diderot, 21 ter.;rue Parrot, 4 bis.
Epinettes.;impasse de La Jonquière;4.0;86.0;XVIIe;rue de La Jonquière, 101.;
La Villette.;place de l'Édit de Nantes;0.0;0.0;XIXe;au milieu du quai de la Seine, entre la place de Bitche et la rue Duvergier, 1.;
Combat.;rue Rémy De Gourmont;6.0;154.0;XIXe;rue Barrelet de Ricou.;rue Georges Lardennois.
Pont de Flandre.;quai du Lot;7.5;345.0;XIXe;passage supérieur du boulevard Macdonald.;à la limite du territoire d'Aubervilliers.
Villette.;passage de la Moselle;6.0;60.0;XIXe;avenue Jean Jaurès, 70.;rue de Meaux, 101.
Grenelle.;place du Cardinal Amette;0.0;0.0;XVe;place Dupleix.;square de La Motte-Piquet.
Grandes Carrières.;rue Cora Vaucaire;10.0;;XVIIIe;rue Henri Brisson, 5.;rue Arthur Ranc, 6.
Faubourg du Roule.;rue Laure Diebold;8.0;196.0;VIIIe;rue du Faubourg Saint Honoré, 204.;rue du Faubourg Saint Honoré, 210.
Epinettes.;rue René Blum;12.0;107.0;XVIIe;rue Cardinet, 155 ter.;rue Bernard Buffet.
Picpus.;voie DW/12;;;XIIe;boulevard Diderot, 67.;en impasse.
Saint-Germain des Prés.;place Mahmoud Darwich;0.0;0.0;VIe;terre-plein situé quai Malaquais au droit des numéros 3 à 7.;
Halles.;place Carrée;33.2;35.0;Ier;les Halles, à l'extrémité est de la rue du Cinéma.;
Halles.;rue de la Cossonnerie;18.0;106.0;Ier;boulevard de Sébastopol, 39.;rue Pierre Lescot, 6.
Halles.;balcon Saint-Eustache;3.5;154.0;Ier;sur le pourtour de la place-patio Pina Bausch (située en contrebas au niveau -3), en vis à vis du passage de la Réale, desservant les paliers des portes Lescot et Berger, au niveau -2 du secteur Forum Central des Halles.;
Saint-Germain l'Auxerrois. Notre-Dame. Sorbonne. Monnaie.;pont Saint-Michel;30.0;62.0;Ier,IVe,Ve,VIe;quai des Orfèvres.;quais des Grands Augustins et Saint-Michel.
Saint-Germain l'Auxerrois. Monnaie.;pont Neuf;20.0;233.0;Ier,VIe;quais du Louvre et de la Mégisserie.;quais de Conti et des Grands Augustins.
Quinze-Vingts.;rue Lacuée;15.0;175.0;XIIe;boulevard de la Bastille, 32 bis.;rue de Lyon, 45 et rue Jules César, 19.
Palais Royal.;passage Hulot;2.4;16.0;Ier;rue de Montpensier, 31.;rue de Richelieu, 34.
Saint-Germain l'Auxerrois.;quai des Orfèvres;14.0;366.0;Ier;pont Saint-Michel et boulevard du Palais.;pont Neuf et place du Pont Neuf, 15.
Halles.;rue Pirouette;4.0;81.0;Ier;entre le palier de la porte Lescot et le passage de la Réale, au niveau -2 du secteur Forum Central des Halles.;
Vivienne.;rue Saint-Marc;10.0;320.0;IIe;rue Feydeau, 2, et rue Montmartre, 149.;rue Favart, 10.
Bonne Nouvelle.;passage de la Trinité;1.6;60.0;IIe;rue Saint-Denis, 164.;rue de Palestro, 21.
Notre-Dame.;rue Chanoinesse;10.0;190.0;IVe;rue du Cloître Notre-Dame, 6 bis.;rue d'Arcole, 9.
Notre-Dame.;rue de Lutèce;38.0;67.0;IVe;place Louis Lépine.;boulevard du Palais, 3.
Saint-Georges.;avenue Frochot;6.5;118.0;IXe;place Gabriel Kaspereit.;place Pigalle, 3.
Saint-Georges.;rue Jules Lefebvre;15.0;119.0;IXe;rue de Clichy, 49.;rue d'Amsterdam, 66.
Saint-Georges.;place Pigalle;0.0;0.0;IXe;au débouché de l'avenue Frochot, des rues Frochot, Jean-Baptiste Pigalle et Duperré sur le côté impair du boulevard de Clichy.;
Faubourg Montmartre.;rue Rossini;11.69;263.0;IXe;rue de la Grange Batelière, 19.;rue Laffitte, 26-30.
Sorbonne.;impasse Chartière;3.0;110.0;Ve;rue de Lanneau, 11.;
Jardin des Plantes.;rue Georges Desplas;15.0;85.0;Ve;rue Daubenton, 12.;place du Puits de l'Ermite, 1 et rue de Quatrefages, 2 bis.
Sorbonne. Val de Grâce.;rue Le Goff;12.0;95.0;Ve;rue Soufflot, 15.;rue Gay-Lussac, 9.
Val de Grâce.;rue Lagarde;12.0;99.0;Ve;rue Vauquelin, 11.;rue de l'Arbalète, 16.
Bercy.;cour du Midi;0.0;0.0;XIIe;cour du Levant, 21.;cour du Levant, 53.
Invalides.;place du Palais Bourbon;52.0;62.0;VIIe;rue de l'Université, 85.;rue de Bourgogne, 4.
Invalides.;rue de Champagny;18.5;39.0;VIIe;rue Casimir Périer, 2.;rue de Martignac, 1.
Invalides.;rue de Courty;12.0;57.0;VIIe;boulevard Saint-Germain, 237.;rue de l'Université, 104.
Invalides.;rue Barbet de Jouy;11.0;405.0;VIIe;rue de Varenne, 67.;rue de Babylone, 62.
Gros Caillou.;rue Edmond Valentin;15.0;126.0;VIIe;avenue Bosquet, 14 bis.;avenue Rapp, 23.
Europe.;rue de Copenhague;12.0;83.0;VIIIe;rue de Rome, 67.;rue de Constantinople, 10.
Bel Air.;route de l'Étang;4.5;85.0;XIIe;avenue du Polygone.;route de la Tourelle.
Faubourg du Roule.;place Georges Guillaumin;0.0;0.0;VIIIe;intersection de l'avenue de Friedland et des rues Balzac et Beaujon.;
Faubourg du Roule. Europe. Plaine de Monceaux. Ternes.;rue de Courcelles;10.0;2325.0;VIIIe,XVIIe;rue La Boétie, 66.;rue du Président Wilson à la limite du territoire de Levallois-Perret.
Hôpital Saint-Louis.;rue de l'Hôpital Saint-Louis;13.0;165.0;Xe;rue de la Grange aux Belles, 21 bis-23.;quai de Jemmapes, 122-126.
Roquette.;rue Basfroi;15.0;386.0;XIe;rue de Charonne, 69.;rue de la Roquette, 106.
Roquette.;cour Damoye;6.0;124.0;XIe;place de la Bastille, 12.;rue Daval, 12.
Saint-Ambroise.;passage Dudouy;2.0;137.0;XIe;rue Saint-Maur, 48.;rue Servan, 59.
Saint-Ambroise.;impasse Truillot;5.0;143.0;XIe;boulevard Voltaire, 86, et rue Popincourt, 61.;
Bercy.;quai de Bercy;14.0;1971.0;XIIe;quai de Bercy (à Charenton-le-Pont).;quai de la Rapée, 16.
Bercy.;voie CK/12;12.0;160.0;XIIe;boulevard Poniatowski.;voie CI/12.
Salpêtrière.;voie X/13;2.8;18.0;XIIIe;avenue Stéphen Pichon, 23.;en impasse.
Petit Montrouge.;avenue Paul Appell;30.0;310.0;XIVe;rue Emile Faguet et rue du Professeur Hyacinthe Vincent.;avenue de la Porte d'Orléans et place du Vingt-Cinq Août 1944, 7.
Petit Montrouge.;voie C/14;3.3;60.0;XIVe;rue Mouton-Duvernet, 14 bis.;en impasse.
Petit Montrouge.;rue Prisse D'Avennes;12.0;97.0;XIVe;rue du Père Corentin, 50.;rue Sarrette, 43.
Petit Montrouge.;rue Mouton-Duvernet;13.0;360.0;XIVe;avenue du Général Leclerc, 36.;avenue du Maine, et rue Gassendi.
Plaisance.;rue Fernand Holweck;8.0;55.0;XIVe;rue Vercingétorix, 93.;rue Du Cange, 10.
Petit Montrouge.;impasse Louvat;7.5;47.0;XIVe;rue Sivel, 3.;en impasse
Combat.;voie C/19;2.5;53.0;XIXe;rue du Plateau, 15.;en impasse
Combat.;cité Saint-Chaumont;5.0;235.0;XIXe;boulevard de la Villette, 50.;avenue Simon Bolivar, 71.
Amérique.;rue Carolus Duran;10.0;92.0;XIXe;rue de l'Orme, 4 bis.;rue Haxo, 143.
Villette.;rue Jomard;12.0;125.0;XIXe;rue de Crimée, 160.;rue de Joinville.
Necker.;rue Antoine Bourdelle;12.0;270.0;XVe;avenue du Maine, 24.;rue Armand Moisant, 1, et rue Falguière, 19.
Javel.;rue Duranton;10.0;425.0;XVe;rue de Lourmel, 135.;rue Lecourbe, 274.
Villette. Chapelle.;rue Riquet;18.0;1267.0;XVIIIe,XIXe;quai de la Seine, 67.;rue Philippe de Girard, 98, et rue de la Chapelle, 2.
Belleville.;place du Guignier;0.0;0.0;XXe;à la rencontre des rues du Guignier et des Pyrénées et limitée par ces voies.;
Saint-Fargeau.;rue de la Justice;8.0;242.0;XXe;1° tronçon: rue du Surmelin, 70. / 2°tronçon: rue de la Justice, 27.;1° tronçon: boulevard Mortier, 61. / 2° tronçon: boulevard Mortier, 71.
Père Lachaise.;rue Émile Landrin;12.0;134.0;XXe;rue des Rondeaux, 50.;rue des Pyrénées, 235.
Javel.;rue de l'Église;12.0;595.0;XVe;rue Saint-Charles, 105.;avenue Félix Faure, 2, et place Etienne Pernet, 24.
Necker.;rue Miollis;10.0;310.0;XVe;boulevard Garibaldi, 48.;rue Cambronne, 33-37.
Auteuil. Muette.;route du Point Du Jour À Bagatelle;5.0;2500.0;XVIe;avenue de la Porte d'Auteuil.;route de la Longue Queue.
Porte Dauphine.;rue Berlioz;10.0;110.0;XVIe;rue Pergolèse, 30.;rue du Commandant Marchand, 7.
Auteuil.;villa Patrice Boudard;11.0;47.0;XVIe;rue Jean de La Fontaine, 25.;en impasse.
Javel.;rue Félix Faure;15.05;112.0;XVe;avenue Félix Faure, 85.;rue Frédéric Mistral, 5.
Necker.;rue Joseph Liouville;15.0;130.0;XVe;rue de la Croix Nivert, 59, et rue Auguste Dorchain, 4.;rue Mademoiselle, 43.
